epoch,episodes,wins,draws,losses,win_rate,avg_reward,avg_steps,learner_rating,num_players
96,100,57,0,43,0.570000,0.500000,83.880000,2025.929805,6
97,100,53,0,47,0.530000,0.120000,82.930000,2007.774326,6
98,100,66,0,34,0.660000,0.680000,83.460000,2043.491833,6
99,100,64,0,36,0.640000,0.510000,86.630000,2002.568787,6
100,100,65,0,35,0.650000,0.640000,84.300000,2015.445443,6
101,100,59,1,40,0.590000,0.410000,101.750000,2077.188310,7
102,100,52,0,48,0.520000,-0.080000,105.920000,2122.199245,7
103,100,55,0,45,0.550000,0.070000,99.580000,2119.850869,7
104,100,50,0,50,0.500000,0.140000,99.270000,2053.711809,7
105,100,52,0,48,0.520000,0.100000,97.740000,2066.456594,7
106,100,54,0,46,0.540000,0.360000,100.670000,2109.747997,7
107,100,59,0,41,0.590000,0.250000,102.660000,2159.208099,7
108,100,49,0,51,0.490000,0.040000,99.220000,2085.507435,7
109,100,52,0,48,0.520000,0.170000,100.210000,2099.034876,7
110,100,60,0,40,0.600000,0.170000,110.450000,2060.426149,7
111,100,63,0,37,0.630000,0.510000,103.810000,2057.976345,7
112,100,42,0,58,0.420000,-0.220000,110.120000,2042.920090,7
113,100,56,0,44,0.560000,0.040000,105.230000,2115.191980,7
114,100,65,0,35,0.650000,0.540000,117.140000,2081.512228,7
115,100,63,0,37,0.630000,0.420000,117.240000,2142.419394,7
116,100,55,0,45,0.550000,0.090000,110.480000,2148.091520,7
117,100,52,0,48,0.520000,0.020000,107.900000,2041.963060,7
118,100,49,0,51,0.490000,0.000000,113.600000,2149.122085,7
119,100,60,0,40,0.600000,0.250000,107.750000,2114.652211,7
120,100,65,0,35,0.650000,0.480000,109.330000,2173.935924,7
121,100,63,0,37,0.630000,0.340000,120.980000,2231.601348,8
122,100,51,0,49,0.510000,0.060000,114.990000,2072.359034,8
123,100,61,0,39,0.610000,0.330000,122.330000,2252.419279,8
124,100,50,0,50,0.500000,-0.030000,122.040000,2173.222764,8
125,100,59,0,41,0.590000,0.360000,128.900000,2240.682655,8
126,100,59,0,41,0.590000,0.370000,130.720000,2227.076337,8
127,100,59,0,41,0.590000,0.270000,126.280000,2197.460618,8
128,100,61,0,39,0.610000,0.460000,136.140000,2246.928039,8
129,100,52,0,48,0.520000,0.020000,133.760000,2205.893014,8
130,100,65,0,35,0.650000,0.430000,128.930000,2271.825951,8
131,100,64,0,36,0.640000,0.420000,138.230000,2263.870561,8
132,100,58,0,42,0.580000,0.300000,129.440000,2238.376403,8
133,100,57,0,43,0.570000,0.270000,147.430000,2216.138291,8
134,100,67,0,33,0.670000,0.510000,131.340000,2312.058098,8
135,100,69,0,31,0.690000,0.590000,130.550000,2279.591677,8
136,100,66,0,34,0.660000,0.360000,135.890000,2202.410521,8
137,100,64,0,36,0.640000,0.340000,140.020000,2284.715217,8
138,100,70,0,30,0.700000,0.610000,143.390000,2265.823806,8
139,100,74,0,26,0.740000,0.660000,139.410000,2330.144323,8
140,100,66,0,34,0.660000,0.360000,137.050000,2295.294580,8
141,100,55,0,45,0.550000,0.160000,161.050000,2379.899440,9
142,100,37,0,63,0.370000,-0.580000,102.050000,2067.981514,9
143,100,47,0,53,0.470000,-0.200000,109.650000,2130.945564,9
144,100,53,0,47,0.530000,-0.030000,114.210000,2194.131249,9
145,100,46,0,54,0.460000,-0.220000,135.070000,2145.890793,9
146,100,55,0,45,0.550000,0.120000,152.840000,2314.718830,9
147,100,33,1,66,0.330000,-0.500000,169.430000,2284.254895,9
148,100,50,0,50,0.500000,-0.010000,173.890000,2384.798775,9
149,100,58,0,42,0.580000,0.240000,175.660000,2427.444358,9
150,100,56,0,44,0.560000,0.310000,177.950000,2384.604971,9
151,100,56,0,44,0.560000,0.150000,213.590000,2391.221777,9
152,100,61,0,39,0.610000,0.380000,221.860000,2392.440769,9
153,100,65,0,35,0.650000,0.420000,204.700000,2435.301491,9
154,100,68,0,32,0.680000,0.370000,218.850000,2499.987145,9
155,100,68,1,31,0.680000,0.440000,213.520000,2382.553581,9
156,100,79,0,21,0.790000,0.720000,219.340000,2481.614740,9
157,100,80,1,19,0.800000,0.780000,227.630000,2494.395214,9
158,100,71,0,29,0.710000,0.580000,231.900000,2455.859652,9
159,100,76,0,24,0.760000,0.630000,208.930000,2404.789763,9
160,100,88,0,12,0.880000,1.000000,226.060000,2531.577029,9
161,100,57,0,43,0.570000,0.220000,351.240000,2587.609541,10
162,100,58,0,42,0.580000,0.170000,418.320000,2612.402576,10
163,100,51,0,49,0.510000,0.000000,420.070000,2485.448852,10
164,100,51,0,49,0.510000,0.030000,184.360000,2284.419949,10
165,100,58,0,42,0.580000,0.220000,182.910000,2298.556152,10
166,100,66,0,34,0.660000,0.300000,191.270000,2367.874931,10
167,100,55,0,45,0.550000,0.090000,262.580000,2536.993135,10
168,100,42,0,58,0.420000,-0.190000,365.540000,2467.752157,10
169,100,35,0,65,0.350000,-0.430000,157.150000,2261.783581,10
170,100,45,0,55,0.450000,-0.230000,166.160000,2311.310930,10
171,100,50,0,50,0.500000,-0.080000,183.840000,2365.730284,10
172,100,61,0,39,0.610000,0.170000,198.850000,2390.954344,10
173,100,39,0,61,0.390000,-0.480000,140.270000,2265.113045,10
174,100,42,0,58,0.420000,-0.220000,152.170000,2270.532887,10
175,100,62,0,38,0.620000,0.230000,168.580000,2382.804319,10
176,100,64,0,36,0.640000,0.240000,207.820000,2341.911213,10
177,100,66,0,34,0.660000,0.380000,181.630000,2417.208674,10
178,100,44,0,56,0.440000,-0.160000,307.840000,2558.447460,10
179,100,45,0,55,0.450000,-0.170000,358.140000,2592.994236,10
180,100,48,0,52,0.480000,-0.120000,456.840000,2530.609607,10
