epoch,episodes,wins,draws,losses,win_rate,avg_reward,avg_steps,learner_rating,num_players
96,50,35,0,15,0.700000,0.900000,52.780000,2286.079821,21
97,50,35,0,15,0.700000,0.840000,47.200000,2224.158002,21
98,50,33,0,17,0.660000,0.600000,56.300000,2254.316009,21
99,50,40,0,10,0.800000,1.100000,48.400000,2337.487495,21
100,50,37,0,13,0.740000,1.060000,46.880000,2318.696700,21
101,50,31,0,19,0.620000,0.440000,55.160000,2167.076791,22
102,50,34,0,16,0.680000,0.820000,48.940000,2191.175740,22
103,50,33,0,17,0.660000,0.740000,51.020000,2249.205088,22
104,50,34,0,16,0.680000,0.680000,53.080000,2233.405775,22
105,50,31,0,19,0.620000,0.580000,53.780000,2194.956016,22
106,50,33,0,17,0.660000,0.700000,51.180000,2254.951734,23
107,50,30,0,20,0.600000,0.340000,51.280000,2177.654949,23
108,50,34,0,16,0.680000,0.860000,55.040000,2261.186166,23
109,50,28,0,22,0.560000,0.220000,49.040000,2152.876137,23
110,50,32,0,18,0.640000,0.700000,50.860000,2218.871775,23
111,50,32,0,18,0.640000,0.580000,58.300000,2225.734535,24
112,50,30,0,20,0.600000,0.520000,53.600000,2188.321188,24
113,50,30,0,20,0.600000,0.640000,54.600000,2210.263847,24
114,50,34,0,16,0.680000,0.680000,57.060000,2262.390654,24
115,50,30,0,20,0.600000,0.500000,54.460000,2198.593451,24
116,50,30,0,20,0.600000,0.560000,57.720000,2282.657240,25
117,50,37,0,13,0.740000,1.200000,55.520000,2340.237230,25
118,50,36,0,14,0.720000,0.980000,58.880000,2320.961892,25
119,50,33,0,17,0.660000,0.840000,53.160000,2308.441113,25
120,50,33,0,17,0.660000,0.960000,52.280000,2283.190191,25
121,50,32,0,18,0.640000,0.760000,58.800000,2250.504817,26
122,50,31,0,19,0.620000,0.620000,53.040000,2231.869576,26
123,50,29,0,21,0.580000,0.640000,53.180000,2199.904857,26
124,50,39,0,11,0.780000,1.400000,63.760000,2438.793748,26
125,50,29,0,21,0.580000,0.340000,60.460000,2280.450464,26
126,50,27,0,23,0.540000,0.260000,61.440000,2213.467488,27
127,50,34,0,16,0.680000,0.760000,57.620000,2311.242969,27
128,50,37,0,13,0.740000,1.000000,58.600000,2371.983977,27
129,50,29,0,21,0.580000,0.520000,62.100000,2281.701223,27
130,50,34,0,16,0.680000,0.960000,55.020000,2359.401244,27
131,50,33,0,17,0.660000,0.880000,64.780000,2384.477523,28
132,50,33,0,17,0.660000,0.600000,63.620000,2402.656018,28
133,50,30,0,20,0.600000,0.540000,69.860000,2255.726615,28
134,50,31,0,19,0.620000,0.500000,64.800000,2313.018267,28
135,50,37,0,13,0.740000,1.060000,61.780000,2392.761936,28
136,50,36,0,14,0.720000,1.100000,69.380000,2473.434384,29
137,50,35,0,15,0.700000,0.880000,63.800000,2402.412432,29
138,50,33,0,17,0.660000,0.660000,67.160000,2373.793008,29
139,50,33,0,17,0.660000,0.960000,63.280000,2312.322866,29
140,50,34,0,16,0.680000,0.940000,60.080000,2374.608623,29
141,50,29,0,21,0.580000,0.240000,65.640000,2277.404806,30
142,50,34,0,16,0.680000,0.780000,66.520000,2378.911461,30
143,50,34,0,16,0.680000,0.760000,69.420000,2395.916400,30
144,50,33,0,17,0.660000,0.800000,60.220000,2356.524822,30
145,50,40,0,10,0.800000,1.300000,67.140000,2488.040935,30
146,50,34,0,16,0.680000,0.920000,65.600000,2460.639914,31
147,50,32,0,18,0.640000,0.560000,73.020000,2434.969615,31
148,50,35,0,15,0.700000,0.960000,66.440000,2406.993239,31
149,50,35,0,15,0.700000,0.900000,65.280000,2426.243166,31
150,50,35,0,15,0.700000,0.920000,70.040000,2410.653707,31
151,50,30,0,20,0.600000,0.360000,80.280000,2329.664740,32
152,50,34,0,16,0.680000,0.920000,66.160000,2381.727968,32
153,50,32,0,18,0.640000,0.700000,72.260000,2339.524680,32
154,50,32,0,18,0.640000,0.660000,73.480000,2407.805643,32
155,50,32,0,18,0.640000,0.600000,68.600000,2423.178417,32
156,50,35,0,15,0.700000,0.660000,68.900000,2410.322468,33
157,50,33,0,17,0.660000,0.620000,76.520000,2382.551031,33
158,50,31,0,19,0.620000,0.540000,76.280000,2392.923390,33
159,50,28,0,22,0.560000,0.620000,79.560000,2343.459035,33
160,50,35,0,15,0.700000,0.860000,73.040000,2411.908749,33
161,50,38,1,11,0.760000,0.980000,78.480000,2540.273126,34
162,50,34,0,16,0.680000,0.860000,67.820000,2479.091259,34
163,50,32,0,18,0.640000,0.760000,73.360000,2476.085124,34
164,50,29,0,21,0.580000,0.540000,79.640000,2360.487196,34
165,50,37,0,13,0.740000,0.980000,77.020000,2470.948067,34
166,50,33,0,17,0.660000,0.820000,66.100000,2475.440809,35
167,50,32,0,18,0.640000,0.660000,74.620000,2411.005163,35
168,50,39,0,11,0.780000,1.120000,75.540000,2589.452222,35
169,50,36,0,14,0.720000,0.860000,84.860000,2537.153807,35
170,50,32,0,18,0.640000,0.700000,78.920000,2464.698149,35
171,50,31,0,19,0.620000,0.640000,70.940000,2413.301818,36
172,50,30,0,20,0.600000,0.520000,73.480000,2352.435319,36
173,50,34,0,16,0.680000,0.740000,77.160000,2461.077762,36
174,50,32,0,18,0.640000,0.400000,74.620000,2409.717337,36
