epoch,episodes,wins,draws,losses,win_rate,avg_alive_diff,avg_steps,steps_p50,steps_p90,steps_max,learner_rating,num_players,early_my_alive_avg,early_opp_alive_avg,early_alive_drop_ratio,early_avg_power
46,50,30,0,20,0.600000,0.620000,27.340000,23.000000,42.499992,77.000000,1904.432000,11,2.946667,2.880000,0.000000,600.000000
47,50,33,0,17,0.660000,0.600000,27.360000,25.000000,41.299995,98.000000,1944.415539,11,2.980000,2.786667,0.000000,580.000000
48,50,32,0,18,0.640000,0.720000,28.000000,27.500000,45.299995,62.000000,1951.071731,11,2.953333,2.873333,0.000000,566.666667
49,50,31,0,19,0.620000,0.440000,29.000000,25.000000,48.099998,62.000000,1901.334005,11,2.960000,2.873333,0.000000,566.666667
50,50,32,0,18,0.640000,0.660000,28.680000,29.500000,48.000000,84.000000,1858.701223,11,2.960000,2.860000,0.000000,573.333333
51,50,27,0,23,0.540000,0.220000,28.560000,25.500000,48.000000,67.000000,1834.376371,12,2.953333,2.813333,0.000000,620.000000
52,50,33,0,17,0.660000,0.780000,30.080000,28.000000,50.099998,70.000000,1977.455179,12,2.953333,2.803333,0.000000,573.333333
53,50,36,0,14,0.720000,0.940000,30.340000,25.000000,50.299995,77.000000,2043.692246,12,2.986667,2.873333,0.000000,546.666667
54,50,39,0,11,0.780000,1.220000,27.240000,25.000000,50.499992,68.000000,2058.585977,12,2.973333,2.820000,0.000000,533.333333
55,50,32,0,18,0.640000,0.620000,29.480000,24.000000,51.499992,123.000000,1967.101212,12,2.933333,2.866667,0.000000,526.666667
56,50,30,0,20,0.600000,0.480000,35.760000,32.500000,63.299995,85.000000,1971.829801,13,2.966667,2.886667,0.000000,553.333333
57,50,37,0,13,0.740000,0.840000,32.100000,28.000000,53.399994,86.000000,2055.586184,13,3.000000,2.893333,0.000000,566.666667
58,50,31,0,19,0.620000,0.700000,31.640000,29.000000,56.499992,83.000000,1998.826157,13,2.973333,2.833333,0.000000,546.666667
59,50,33,0,17,0.660000,0.720000,30.660000,29.500000,56.000000,67.000000,2013.661528,13,2.980000,2.840000,0.000000,513.333333
60,50,29,0,21,0.580000,0.300000,37.880000,31.000000,67.399994,109.000000,1957.058047,13,2.966667,2.906667,0.000000,553.333333
61,50,31,0,19,0.620000,0.580000,34.960000,32.500000,63.099998,114.000000,1934.255480,14,2.973333,2.830000,0.000000,526.666667
62,50,30,0,20,0.600000,0.660000,35.740000,32.500000,61.099998,74.000000,1962.627687,14,3.000000,2.926667,0.000000,546.666667
63,50,33,0,17,0.660000,0.680000,36.560000,38.000000,54.000000,102.000000,2038.989714,14,2.993333,2.873333,0.000000,560.000000
64,50,29,0,21,0.580000,0.560000,32.420000,29.000000,55.000000,80.000000,1977.727824,14,2.946667,2.853333,0.000000,553.333333
65,50,33,0,17,0.660000,0.620000,40.740000,39.500000,69.000000,87.000000,1983.396944,14,2.986667,2.886667,0.000000,573.333333
66,50,32,0,18,0.640000,0.620000,36.600000,34.000000,53.399994,81.000000,2023.180439,15,2.980000,2.846667,0.000000,560.000000
67,50,34,0,16,0.680000,0.920000,39.500000,38.500000,64.599991,83.000000,2059.084247,15,2.986667,2.940000,0.000000,526.666667
68,50,32,0,18,0.640000,0.640000,40.500000,36.000000,67.599991,118.000000,2047.225486,15,2.973333,2.926667,0.000000,513.333333
69,50,34,0,16,0.680000,0.760000,39.660000,39.000000,56.499992,71.000000,2090.798308,15,2.980000,2.920000,0.000000,513.333333
70,50,34,0,16,0.680000,0.860000,45.180000,45.500000,69.000000,103.000000,2078.486225,15,2.986667,2.966667,0.000000,553.333333
71,50,34,0,16,0.680000,0.620000,37.220000,37.000000,62.000000,79.000000,2117.770799,16,2.993333,2.946667,0.000000,560.000000
72,50,33,0,17,0.660000,0.760000,42.020000,38.000000,69.299980,94.000000,2097.598859,16,2.946667,2.913333,0.000000,553.333333
73,50,34,0,16,0.680000,0.580000,50.460000,51.000000,82.099998,133.000000,2099.559933,16,2.986667,2.960000,0.000000,546.666667
74,50,36,0,14,0.720000,0.960000,42.560000,39.000000,69.000000,87.000000,2178.474104,16,2.960000,2.920000,0.000000,533.333333
75,50,33,0,17,0.660000,0.800000,44.520000,37.000000,87.000000,118.000000,2113.652942,16,2.980000,2.946667,0.000000,526.666667
76,50,31,0,19,0.620000,0.880000,41.860000,39.000000,67.599991,100.000000,2048.551357,17,3.000000,2.846667,0.000000,546.666667
77,50,31,0,19,0.620000,0.880000,39.680000,39.500000,61.599991,100.000000,2050.553848,17,2.993333,2.906667,0.000000,506.666667
78,50,35,0,15,0.700000,1.040000,43.520000,38.500000,73.099998,104.000000,2159.300472,17,2.973333,2.946667,0.000000,506.666667
79,50,33,0,17,0.660000,0.700000,41.360000,37.500000,65.399994,111.000000,2118.570462,17,2.973333,2.850000,0.000000,533.333333
80,50,37,0,13,0.740000,1.100000,45.000000,40.500000,76.000000,94.000000,2172.883971,17,2.973333,2.886667,0.000000,526.666667
81,50,31,0,19,0.620000,0.600000,50.240000,47.500000,82.399994,119.000000,2151.680785,18,2.993333,2.953333,0.000000,533.333333
82,50,36,0,14,0.720000,0.840000,41.460000,37.500000,69.000000,98.000000,2209.496530,18,2.986667,2.926667,0.000000,566.666667
83,50,35,0,15,0.700000,0.980000,52.260000,46.500000,83.599991,131.000000,2226.889454,18,2.986667,2.973333,0.000000,513.333333
84,50,32,0,18,0.640000,0.620000,52.200000,56.000000,74.199997,105.000000,2119.399058,18,2.980000,2.986667,0.000000,580.000000
85,50,30,0,20,0.600000,0.500000,44.780000,43.000000,70.799988,96.000000,2115.367259,18,2.960000,2.960000,0.000000,566.666667
86,50,29,0,21,0.580000,0.260000,45.440000,43.500000,76.099998,93.000000,2056.443613,19,2.966667,2.906667,0.000000,560.000000
87,50,36,0,14,0.720000,1.060000,41.120000,39.500000,67.199997,86.000000,2171.787066,19,2.973333,2.966667,0.000000,573.333333
88,50,29,0,21,0.580000,0.220000,48.140000,49.000000,75.399994,91.000000,2090.550424,19,2.980000,2.933333,0.000000,540.000000
89,50,34,0,16,0.680000,0.780000,51.040000,51.000000,75.299995,150.000000,2146.997417,19,2.993333,2.913333,0.000000,506.666667
90,50,36,0,14,0.720000,0.960000,55.400000,49.000000,93.399994,170.000000,2163.977492,19,2.980000,2.946667,0.000000,533.333333
91,50,32,0,18,0.640000,0.760000,55.600000,55.000000,89.399994,119.000000,2163.171716,20,2.980000,2.966667,0.000000,506.666667
92,50,37,0,13,0.740000,1.080000,49.860000,52.500000,75.199997,110.000000,2230.719380,20,2.986667,2.900000,0.000000,513.333333
93,50,38,0,12,0.760000,0.900000,57.360000,53.000000,100.299995,131.000000,2267.477807,20,3.000000,2.986667,0.000000,513.333333
94,50,35,0,15,0.700000,0.900000,55.800000,55.000000,84.099998,106.000000,2282.702150,20,2.973333,2.940000,0.000000,553.333333
