epoch,episodes,wins,draws,losses,win_rate,avg_reward,avg_steps,learner_rating,num_players
96,50,32,0,18,0.640000,0.500000,11.200000,1639.283962,21
97,50,27,0,23,0.540000,0.040000,10.460000,1658.074500,21
98,50,41,0,9,0.820000,1.220000,11.000000,1756.027026,21
99,50,28,0,22,0.560000,0.180000,10.020000,1581.538318,21
100,50,35,0,15,0.700000,0.740000,10.960000,1696.788118,21
101,50,30,0,20,0.600000,0.620000,11.380000,1627.263217,22
102,50,29,0,21,0.580000,0.440000,12.200000,1632.296897,22
103,50,25,0,25,0.500000,-0.020000,10.480000,1499.922528,22
104,50,27,0,23,0.540000,0.340000,10.760000,1524.531847,22
105,50,31,0,19,0.620000,0.460000,10.860000,1615.197061,22
106,50,32,0,18,0.640000,0.680000,11.420000,1632.585683,23
107,50,31,0,19,0.620000,0.520000,11.420000,1633.857203,23
108,50,32,0,18,0.640000,0.720000,10.180000,1707.012352,23
109,50,27,0,23,0.540000,0.140000,11.260000,1595.353904,23
110,50,26,0,24,0.520000,0.140000,10.680000,1551.602083,23
111,50,28,0,22,0.560000,0.260000,10.920000,1588.341948,24
112,50,27,0,23,0.540000,0.260000,11.360000,1572.938228,24
113,50,28,0,22,0.560000,0.240000,11.960000,1558.857709,24
114,50,30,0,20,0.600000,0.520000,10.940000,1610.903295,24
115,50,32,0,18,0.640000,0.580000,11.440000,1666.739763,24
116,50,29,0,21,0.580000,0.220000,11.200000,1619.014068,25
117,50,33,0,17,0.660000,0.600000,11.140000,1655.379324,25
118,50,30,0,20,0.600000,0.560000,10.240000,1616.514057,25
119,50,34,0,16,0.680000,0.720000,11.780000,1621.221816,25
120,50,31,0,19,0.620000,0.580000,11.260000,1606.441096,25
121,50,32,0,18,0.640000,0.720000,12.040000,1599.985065,26
122,50,32,0,18,0.640000,0.620000,11.040000,1624.562122,26
123,50,30,0,20,0.600000,0.340000,13.820000,1561.693685,26
124,50,31,0,19,0.620000,0.420000,12.320000,1603.398434,26
125,50,31,0,19,0.620000,0.640000,12.480000,1644.339501,26
126,50,31,0,19,0.620000,0.420000,12.420000,1653.941426,27
127,50,32,0,18,0.640000,0.480000,11.900000,1671.728468,27
128,50,37,0,13,0.740000,0.780000,11.340000,1766.079217,27
129,50,32,0,18,0.640000,0.620000,12.500000,1701.284094,27
130,50,32,0,18,0.640000,0.740000,11.180000,1645.842205,27
131,50,29,0,21,0.580000,0.520000,12.020000,1629.602339,28
132,50,31,0,19,0.620000,0.520000,12.280000,1631.793941,28
133,50,34,0,16,0.680000,0.640000,11.680000,1724.070906,28
134,50,33,0,17,0.660000,0.720000,12.060000,1703.784414,28
135,50,30,0,20,0.600000,0.420000,13.600000,1626.457062,28
136,50,29,0,21,0.580000,0.560000,11.700000,1604.384979,29
137,50,34,0,16,0.680000,0.800000,11.100000,1681.949700,29
138,50,32,0,18,0.640000,0.420000,12.580000,1665.397679,29
139,50,35,0,15,0.700000,0.660000,11.760000,1698.414544,29
