epoch,num_samples,policy_loss,value_loss,entropy_mean,entropy_std,approx_kl,clip_frac,top1_prob_mean,top5_prob_mean,top20_prob_mean,top50_prob_mean,grad_norm_mean,lr,power0_ratio,power1_ratio,power2_ratio,stone0_ratio,stone1_ratio,stone2_ratio
32,485,-0.017197,0.990658,3.494209,0.041663,0.008929,0.154086,0.137275,0.449676,0.789699,0.947650,2.918339,0.00010000,0.872165,0.072165,0.055670,0.323711,0.358763,0.317526
33,517,0.004591,0.970177,3.491945,0.030994,0.013356,0.278819,0.142162,0.438923,0.793034,0.950047,3.463756,0.00010000,0.905222,0.052224,0.042553,0.272727,0.400387,0.326886
34,517,-0.003741,0.867614,3.567165,0.036040,0.010129,0.169907,0.121523,0.404323,0.782168,0.948008,3.646763,0.00010000,0.926499,0.046422,0.027079,0.255319,0.379110,0.365571
35,555,-0.014216,0.838331,3.529297,0.027581,0.007740,0.108635,0.137527,0.394638,0.795819,0.954868,3.025697,0.00010000,0.922523,0.054054,0.023423,0.259459,0.401802,0.338739
36,515,-0.060910,0.722379,3.525114,0.035907,0.008250,0.151235,0.143481,0.406158,0.788669,0.955410,3.516573,0.00010000,0.914563,0.054369,0.031068,0.295146,0.345631,0.359223
37,572,-0.023426,0.828174,3.545746,0.021273,0.012096,0.235532,0.109888,0.394336,0.789440,0.957220,2.878055,0.00010000,0.919580,0.054196,0.026224,0.237762,0.438811,0.323427
38,599,-0.011384,0.850211,3.550922,0.029539,0.009791,0.174479,0.107761,0.396824,0.785441,0.957218,3.174017,0.00010000,0.914858,0.055092,0.030050,0.275459,0.387312,0.337229
39,541,-0.019122,0.858323,3.544467,0.028558,0.009126,0.176545,0.127716,0.401409,0.779690,0.957218,3.032660,0.00010000,0.911275,0.066543,0.022181,0.295749,0.351201,0.353050
40,570,-0.020475,0.886531,3.545588,0.049904,0.010218,0.158565,0.135756,0.403970,0.777685,0.957113,3.053734,0.00010000,0.900000,0.064912,0.035088,0.321053,0.375439,0.303509
41,559,-0.024749,0.984117,3.504005,0.025236,0.012332,0.230423,0.119124,0.413270,0.788353,0.963723,2.951568,0.00010000,0.917710,0.055456,0.026834,0.257603,0.445438,0.296959
42,661,-0.013860,0.684079,3.501894,0.017645,0.010013,0.183442,0.112179,0.415095,0.788306,0.964604,3.003511,0.00010000,0.936460,0.057489,0.006051,0.343419,0.394856,0.261725
43,628,-0.016970,0.794178,3.522525,0.020830,0.009047,0.160657,0.111698,0.418766,0.782345,0.960389,2.755828,0.00010000,0.899682,0.076433,0.023885,0.363057,0.340764,0.296178
44,666,-0.019363,0.621398,3.485934,0.030674,0.010241,0.214161,0.116848,0.426068,0.795599,0.962858,3.036856,0.00010000,0.912913,0.070571,0.016517,0.318318,0.369369,0.312312
45,599,-0.014913,0.823104,3.464830,0.026923,0.006624,0.115534,0.123096,0.433181,0.799413,0.965040,3.006690,0.00010000,0.919866,0.061770,0.018364,0.330551,0.322204,0.347245
46,681,-0.019157,0.724526,3.524367,0.017147,0.009176,0.145752,0.122166,0.405077,0.789970,0.962203,3.086264,0.00010000,0.913363,0.071953,0.014684,0.312775,0.330396,0.356828
47,678,-0.012901,0.655152,3.458432,0.041430,0.008390,0.144737,0.127649,0.425113,0.807063,0.965897,3.054243,0.00010000,0.930678,0.053097,0.016224,0.331858,0.311209,0.356932
48,697,-0.018450,0.678081,3.467460,0.029986,0.010016,0.171127,0.134995,0.419061,0.803815,0.964329,2.952238,0.00010000,0.923960,0.063128,0.012912,0.331420,0.355811,0.312769
49,724,-0.027303,0.693084,3.426161,0.032764,0.009556,0.176910,0.143600,0.435134,0.810286,0.966063,3.135136,0.00010000,0.935083,0.048343,0.016575,0.352210,0.310773,0.337017
50,715,-0.004072,0.791875,3.396121,0.024297,0.009088,0.148753,0.167571,0.444475,0.814576,0.967207,3.191722,0.00010000,0.932867,0.053147,0.013986,0.381818,0.339860,0.278322
